2025-04-05 21:52:35,507 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-04-05 21:52:37,254 - INFO - Starting training with config: {'env': {'name': 'Curling', 'r': 1.0, 'm': 1.0, 'h': 100.0, 'w': 100.0, 'rebound_coefficient': 0.9, 'initial_speed_range': [-10, 10], 'dt': 0.01, 'max_steps': 3000, 'num_steps_per_step': 10, 'initial_act_interval': 1, 'act_interval_decay': 1, 'final_act_interval': 1, 'normalize': False}, 'agent': {'name': 'DQN', 'gamma': 1, 'epsilon': 0.9, 'epsilon_decay': 0.975, 'epsilon_decay_steps': 1, 'epsilon_min': 0.01, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 6, 'output_dim': 4, 'actions': [[5, 0], [0, 5], [-5, 0], [0, -5]], 'hidden_dims': [128, 128], 'target_update_interval': 500, 'device': 'cuda', 'input_encoding': False, 'input_encoding_dim': 0}, 'training': {'mode': 'off-policy', 'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 1, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints/curling/dqn', 'log_path': './logs/curling/dqn'}}
2025-04-05 21:52:38,019 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\curling\dqn\Curling_DQN_20250405_215238
2025-04-05 21:52:38,019 - INFO - Training started.
2025-04-05 21:52:51,701 - INFO - Episode 39/200: Total Reward: -12200.5717, Avg Loss: 0.5529, Epsilon: 0.3439, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:54,086 - INFO - Episode 40/200: Total Reward: -13537.5103, Avg Loss: 3.3296, Epsilon: 0.3353, Lr: 0.000857, Act Interval: 1
2025-04-05 21:52:56,749 - INFO - Episode 41/200: Total Reward: -6118.0799, Avg Loss: 3.0813, Epsilon: 0.3269, Lr: 0.000815, Act Interval: 1
2025-04-05 21:52:59,336 - INFO - Episode 42/200: Total Reward: -12001.4726, Avg Loss: 1.0564, Epsilon: 0.3187, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:02,047 - INFO - Episode 43/200: Total Reward: -3552.4235, Avg Loss: 3.2493, Epsilon: 0.3108, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:04,707 - INFO - Episode 44/200: Total Reward: -4711.0775, Avg Loss: 1.2956, Epsilon: 0.3030, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:07,406 - INFO - Episode 45/200: Total Reward: -7191.0081, Avg Loss: 3.5603, Epsilon: 0.2954, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:10,075 - INFO - Episode 46/200: Total Reward: -4826.0134, Avg Loss: 3.5087, Epsilon: 0.2880, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:12,688 - INFO - Episode 47/200: Total Reward: -6603.8503, Avg Loss: 2.6410, Epsilon: 0.2808, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:15,296 - INFO - Episode 48/200: Total Reward: -5806.6722, Avg Loss: 4.2300, Epsilon: 0.2738, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:17,969 - INFO - Episode 49/200: Total Reward: -4666.9997, Avg Loss: 1.9956, Epsilon: 0.2670, Lr: 0.000815, Act Interval: 1
2025-04-05 21:53:20,623 - INFO - Episode 50/200: Total Reward: -4407.1992, Avg Loss: 4.1147, Epsilon: 0.2603, Lr: 0.000815, Act Interval: 1
