2025-03-28 23:06:47,894 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-03-28 23:06:47,894 - INFO - Starting training with config: {'env': {'name': 'Pendulum', 'm': 0.055, 'g': 9.81, 'l': 0.042, 'J': 0.000191, 'b': 3e-06, 'K': 0.0536, 'R': 9.5, 'max_voltage': 3, 'max_speed': 47.12388980384689, 'Ts': 0.005, 'max_steps': 500, 'initial_act_interval': 20, 'act_interval_decay': 0.98, 'final_act_interval': 1}, 'agent': {'name': 'DQN', 'gamma': 0.98, 'epsilon': 0.9, 'epsilon_decay': 0.9, 'epsilon_decay_steps': 1, 'epsilon_min': 0.0001, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 2, 'output_dim': 3, 'hidden_dims': [128, 128], 'target_update_interval': 20, 'device': 'cuda', 'actions': [-3, 0, 3]}, 'training': {'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 10, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints', 'log_path': './logs'}}
2025-03-28 23:06:48,620 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\Pendulum_DQN_20250328_230648
2025-03-28 23:06:48,620 - INFO - Training started.
2025-03-28 23:06:58,926 - INFO - Episode 56/200: Total Reward: 16.9803, Avg Loss: 0.0080, Epsilon: 0.0027, Lr: 0.000774, Act Interval: 7
2025-03-28 23:06:59,215 - INFO - Episode 57/200: Total Reward: 20.9972, Avg Loss: 0.0080, Epsilon: 0.0025, Lr: 0.000774, Act Interval: 6
2025-03-28 23:06:59,509 - INFO - Episode 58/200: Total Reward: 24.6712, Avg Loss: 0.0093, Epsilon: 0.0022, Lr: 0.000774, Act Interval: 6
2025-03-28 23:06:59,853 - INFO - Episode 59/200: Total Reward: 34.9231, Avg Loss: 0.0098, Epsilon: 0.0020, Lr: 0.000774, Act Interval: 6
2025-03-28 23:07:00,152 - INFO - Episode 60/200: Total Reward: 42.8014, Avg Loss: 0.0094, Epsilon: 0.0018, Lr: 0.000774, Act Interval: 6
2025-03-28 23:07:00,450 - INFO - Episode 61/200: Total Reward: 57.2296, Avg Loss: 0.0091, Epsilon: 0.0016, Lr: 0.000735, Act Interval: 6
2025-03-28 23:07:00,807 - INFO - Episode 62/200: Total Reward: 56.6430, Avg Loss: 0.0089, Epsilon: 0.0015, Lr: 0.000735, Act Interval: 6
2025-03-28 23:07:01,110 - INFO - Episode 63/200: Total Reward: 58.1257, Avg Loss: 0.0103, Epsilon: 0.0013, Lr: 0.000735, Act Interval: 6
2025-03-28 23:07:01,469 - INFO - Episode 64/200: Total Reward: 62.4516, Avg Loss: 0.0101, Epsilon: 0.0012, Lr: 0.000735, Act Interval: 6
2025-03-28 23:07:01,798 - INFO - Episode 65/200: Total Reward: 68.4823, Avg Loss: 0.0101, Epsilon: 0.0011, Lr: 0.000735, Act Interval: 5
2025-03-28 23:07:02,129 - INFO - Episode 66/200: Total Reward: 68.7044, Avg Loss: 0.0107, Epsilon: 0.0010, Lr: 0.000735, Act Interval: 5
2025-03-28 23:07:02,507 - INFO - Episode 67/200: Total Reward: 64.8243, Avg Loss: 0.0101, Epsilon: 0.0009, Lr: 0.000735, Act Interval: 5
2025-03-28 23:07:02,822 - INFO - Episode 68/200: Total Reward: 59.7007, Avg Loss: 0.0097, Epsilon: 0.0008, Lr: 0.000735, Act Interval: 5
2025-03-28 23:07:03,152 - INFO - Episode 69/200: Total Reward: 65.9208, Avg Loss: 0.0103, Epsilon: 0.0007, Lr: 0.000735, Act Interval: 5
2025-03-28 23:07:03,534 - INFO - Episode 70/200: Total Reward: 72.5477, Avg Loss: 0.0103, Epsilon: 0.0006, Lr: 0.000735, Act Interval: 5
2025-03-28 23:07:03,873 - INFO - Episode 71/200: Total Reward: 66.6418, Avg Loss: 0.0106, Epsilon: 0.0006, Lr: 0.000698, Act Interval: 5
2025-03-28 23:07:04,260 - INFO - Episode 72/200: Total Reward: 62.6546, Avg Loss: 0.0116, Epsilon: 0.0005, Lr: 0.000698, Act Interval: 5
2025-03-28 23:07:04,597 - INFO - Episode 73/200: Total Reward: 75.0554, Avg Loss: 0.0127, Epsilon: 0.0005, Lr: 0.000698, Act Interval: 5
2025-03-28 23:07:04,939 - INFO - Episode 74/200: Total Reward: 78.9132, Avg Loss: 0.0119, Epsilon: 0.0004, Lr: 0.000698, Act Interval: 5
2025-03-28 23:07:05,345 - INFO - Episode 75/200: Total Reward: 62.4362, Avg Loss: 0.0122, Epsilon: 0.0004, Lr: 0.000698, Act Interval: 4
2025-03-28 23:07:05,717 - INFO - Episode 76/200: Total Reward: 76.7340, Avg Loss: 0.0135, Epsilon: 0.0003, Lr: 0.000698, Act Interval: 4
2025-03-28 23:07:06,094 - INFO - Episode 77/200: Total Reward: 79.9555, Avg Loss: 0.0138, Epsilon: 0.0003, Lr: 0.000698, Act Interval: 4
2025-03-28 23:07:06,541 - INFO - Episode 78/200: Total Reward: 79.7265, Avg Loss: 0.0135, Epsilon: 0.0003, Lr: 0.000698, Act Interval: 4
2025-03-28 23:07:06,923 - INFO - Episode 79/200: Total Reward: 80.1071, Avg Loss: 0.0142, Epsilon: 0.0002, Lr: 0.000698, Act Interval: 4
2025-03-28 23:07:07,363 - INFO - Episode 80/200: Total Reward: 83.0184, Avg Loss: 0.0136, Epsilon: 0.0002, Lr: 0.000698, Act Interval: 4
2025-03-28 23:07:07,746 - INFO - Episode 81/200: Total Reward: 82.9306, Avg Loss: 0.0139, Epsilon: 0.0002, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:08,131 - INFO - Episode 82/200: Total Reward: 82.5652, Avg Loss: 0.0144, Epsilon: 0.0002, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:08,576 - INFO - Episode 83/200: Total Reward: 89.0446, Avg Loss: 0.0148, Epsilon: 0.0002, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:08,960 - INFO - Episode 84/200: Total Reward: 88.2257, Avg Loss: 0.0152, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:09,341 - INFO - Episode 85/200: Total Reward: 85.3003, Avg Loss: 0.0154, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:09,778 - INFO - Episode 86/200: Total Reward: 89.9557, Avg Loss: 0.0169, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:10,161 - INFO - Episode 87/200: Total Reward: 89.7856, Avg Loss: 0.0156, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 4
2025-03-28 23:07:10,619 - INFO - Episode 88/200: Total Reward: 88.4650, Avg Loss: 0.0160, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 3
2025-03-28 23:07:11,021 - INFO - Episode 89/200: Total Reward: 86.8809, Avg Loss: 0.0151, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 3
2025-03-28 23:07:11,428 - INFO - Episode 90/200: Total Reward: 93.2577, Avg Loss: 0.0164, Epsilon: 0.0001, Lr: 0.000663, Act Interval: 3
2025-03-28 23:07:11,919 - INFO - Episode 91/200: Total Reward: 93.2618, Avg Loss: 0.0167, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:12,357 - INFO - Episode 92/200: Total Reward: 93.0383, Avg Loss: 0.0173, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:12,811 - INFO - Episode 93/200: Total Reward: 88.8369, Avg Loss: 0.0178, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:13,304 - INFO - Episode 94/200: Total Reward: 89.5055, Avg Loss: 0.0179, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:13,737 - INFO - Episode 95/200: Total Reward: 96.8150, Avg Loss: 0.0184, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:14,238 - INFO - Episode 96/200: Total Reward: 94.4753, Avg Loss: 0.0185, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:14,679 - INFO - Episode 97/200: Total Reward: 95.6847, Avg Loss: 0.0189, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:15,121 - INFO - Episode 98/200: Total Reward: 97.5749, Avg Loss: 0.0188, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:15,619 - INFO - Episode 99/200: Total Reward: 101.1850, Avg Loss: 0.0217, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:16,065 - INFO - Episode 100/200: Total Reward: 103.3755, Avg Loss: 0.0186, Epsilon: 0.0001, Lr: 0.000630, Act Interval: 3
2025-03-28 23:07:16,077 - INFO - Checkpoint saved at episode 100, file: D:\Projects\RL_course\homework1\checkpoints\Pendulum_DQN_20250328_230648\checkpoint_100.pth
2025-03-28 23:07:16,545 - INFO - Episode 101/200: Total Reward: 102.6561, Avg Loss: 0.0196, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 3
2025-03-28 23:07:17,028 - INFO - Episode 102/200: Total Reward: 98.2263, Avg Loss: 0.0201, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 3
2025-03-28 23:07:17,451 - INFO - Episode 103/200: Total Reward: 97.6543, Avg Loss: 0.0202, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 3
2025-03-28 23:07:17,943 - INFO - Episode 104/200: Total Reward: 99.7729, Avg Loss: 0.0207, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:18,389 - INFO - Episode 105/200: Total Reward: 100.0315, Avg Loss: 0.0184, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:18,846 - INFO - Episode 106/200: Total Reward: 99.7970, Avg Loss: 0.0191, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:19,348 - INFO - Episode 107/200: Total Reward: 100.8319, Avg Loss: 0.0180, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:19,808 - INFO - Episode 108/200: Total Reward: 100.7201, Avg Loss: 0.0211, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:20,266 - INFO - Episode 109/200: Total Reward: 100.8325, Avg Loss: 0.0196, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:20,781 - INFO - Episode 110/200: Total Reward: 101.2238, Avg Loss: 0.0216, Epsilon: 0.0001, Lr: 0.000599, Act Interval: 2
2025-03-28 23:07:21,250 - INFO - Episode 111/200: Total Reward: 101.5532, Avg Loss: 0.0215, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
2025-03-28 23:07:21,764 - INFO - Episode 112/200: Total Reward: 101.9911, Avg Loss: 0.0217, Epsilon: 0.0001, Lr: 0.000569, Act Interval: 2
